,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
28,0.0,29,Fri Jan 12 05:46:46 +0000 2018,0.0,1.0,0.0,951691903740899329,@jessphillips Question for @bbc Why are women taken off air for views but not men? Another sign of their sexism in action #StopSexism
29,0.0,30,Fri Jan 12 05:46:25 +0000 2018,0.0,1.0,0.0,951691817065496576,https://t.co/LQHeRTHFRF  @CNNPolitics @MSNBC @jaketapper @CNN @MSNBC @BBC @NPR @CBSNews @NBCNews  @Acosta @donlemon @JoeNBC @ShepNewsTeam
30,0.0,31,Fri Jan 12 05:46:24 +0000 2018,0.0,1.0,0.0,951691814305607680,"RT @Ashadevi9415: #BeSpiritual
@BBCWorld
@BBCBreaking
@BBCR1
@BBCNews
@BBC @BBCHindi
@DDNewsHindi
@BBCsarika
@Zubair_BBC
@BBCMukeshS
@BBCPa…"
31,0.0,32,Fri Jan 12 05:46:07 +0000 2018,0.0,1.0,0.0,951691742268612608,RT @Qahtane19Anna: https://t.co/WJJbIrxVKw @bbc #th3 x https://t.co/cu2w4Hw5OK
32,0.0,33,Fri Jan 12 05:41:33 +0000 2018,0.0,1.0,0.0,951690593310187520,RT @rsc998: @cnn @bbc @mkraju @maddow @andersoncooper @ericstonestreet @fakedansavage @guardiannews @donlemon @Georgetakei @IEquality @iEQU…
33,0.0,34,Fri Jan 12 05:37:57 +0000 2018,0.0,1.0,0.0,951689688477241344,"RT @alexandrabulat: #bbcqt just before Q2 I commented on @dominicraab's statement on @the3million and @BritishInEurope 
@BBC edited it out…"
34,0.0,35,Fri Jan 12 05:37:30 +0000 2018,0.0,1.0,0.0,951689573343481859,RT @minx1961: What were you wearing? #Beyond #Brilliant!! #traceyullman ??????  Is this the sketch of the year? @BBC https://t.co/Ujhcv9eL1…
35,-0.4228,36,Fri Jan 12 05:37:24 +0000 2018,0.223,0.682,0.095,951689548970504192,"""There's some disadvantages to wearing crowns, otherwise they are quite important things"" says queenie. Oh no they'… https://t.co/L2tGgQVUHy"
36,0.4215,37,Fri Jan 12 05:36:21 +0000 2018,0.0,0.833,0.167,951689285933072385,RT @occupyjusticema: @Corinne_Vella @andrewbriffa @saviourbalzan @johnsweeneyroar @BBC A round of applause for @SaviourBalzan who has chose…
37,0.1779,38,Fri Jan 12 05:33:39 +0000 2018,0.077,0.814,0.109,951688605155676160,RT @ngAlecBSc: How do @bbc expect us to take #DeathInParadise seriously with 'the cat' and 'father dougal' solving the crimes? ?
38,0.5994,39,Fri Jan 12 05:33:16 +0000 2018,0.0,0.647,0.353,951688507461844992,RT @BBC: Farewell 2017. Thank you for giving us this. ? https://t.co/tIUAzNnIUU
39,0.0,40,Fri Jan 12 05:32:53 +0000 2018,0.0,1.0,0.0,951688412301443073,RT @BBC: ? @IAmWill is a vegan and the vegan illuminati (aka the 'veganati') made him do it. ? https://t.co/hc3TEJXbPS
40,-0.0772,41,Fri Jan 12 05:32:39 +0000 2018,0.187,0.65,0.163,951688354487324672,"John Humphrys jokes about @BBC #GenderPayGap in leaked recording

https://t.co/5oXWGaapWL"
41,0.3612,42,Fri Jan 12 05:31:33 +0000 2018,0.0,0.848,0.152,951688075553464320,@Protect_Wldlife @NevilleSouthall @BBC @tomheapmedia @BBCCountryfile @UKChange Who is he? He looks like a nobody ba… https://t.co/2msvlFqQGC
42,0.3612,43,Fri Jan 12 05:31:21 +0000 2018,0.0,0.894,0.106,951688027339767809,"RT @rexorangecounty: ""happiness"" recorded for @BBC. thank you so much for voting me 2nd in this years bbc sound of 2018. ?

https://t.co/vl…"
43,-0.2023,44,Fri Jan 12 05:29:36 +0000 2018,0.13,0.87,0.0,951687585725865985,RT @WildAid: The strange figures behind a secret trade #rhinos @bbc @MishaGlenny https://t.co/tlm38JDulD https://t.co/QlmwtiQaGg
44,0.128,45,Fri Jan 12 05:29:23 +0000 2018,0.089,0.8,0.111,951687530243641344,"RT @hackneyabbatt: The left wing propaganda machine, the @BBC , loading the panel &amp; audience with Lefties &amp; Remoaners like usual."
45,0.0,46,Fri Jan 12 05:28:38 +0000 2018,0.0,1.0,0.0,951687342590517249,https://t.co/WJJbIrxVKw @bbc #th3 x https://t.co/cu2w4Hw5OK
46,0.0,47,Fri Jan 12 05:28:07 +0000 2018,0.0,1.0,0.0,951687211006808065,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
47,0.0,48,Fri Jan 12 05:27:38 +0000 2018,0.0,1.0,0.0,951687089686564864,RT @rusincerely: @TheEllenShow @JimmyKimmel @morningmika @NewsHour @BBC @CNN @cnni @France24_en @AC360 @MiaFarrow @Cher @kirstiealley @MrsS…
48,0.0,49,Fri Jan 12 05:26:27 +0000 2018,0.0,1.0,0.0,951686794449444865,"RT @BBC: ? ? Fancy some new music from @Camila_Cabello? The singer debuted her song 'Never Be The Same' live on US TV. 

Take a look ? http…"
49,0.0,50,Fri Jan 12 05:26:27 +0000 2018,0.0,1.0,0.0,951686790527758336,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
50,0.0,51,Fri Jan 12 05:25:26 +0000 2018,0.0,1.0,0.0,951686538823380992,RT @mrshaikh2014: @OfficeOfRSP @rsprasad @PMOIndia @HMOIndia @rashtrapatibhvn @aajtak @ZeeNews @CNN @BBC @InsaafNGO @vaastavngo @OfficeOfRG…
51,0.3612,52,Fri Jan 12 05:25:02 +0000 2018,0.0,0.894,0.106,951686435374956545,"RT @rexorangecounty: ""happiness"" recorded for @BBC. thank you so much for voting me 2nd in this years bbc sound of 2018. ?

https://t.co/vl…"
52,0.0,53,Fri Jan 12 05:24:17 +0000 2018,0.0,1.0,0.0,951686249215033344,"RT @onamarc: #Gabon : pays d’Ali Bongo, ami de @EmmanuelMacron, les tuberculeux ne peuvent plus se soigner. @AFP @ABC @BBC @RFI  https://t.…"
53,0.3612,54,Fri Jan 12 05:24:13 +0000 2018,0.0,0.894,0.106,951686228792852480,"RT @rexorangecounty: ""happiness"" recorded for @BBC. thank you so much for voting me 2nd in this years bbc sound of 2018. ?

https://t.co/vl…"
54,0.0,55,Fri Jan 12 05:23:17 +0000 2018,0.0,1.0,0.0,951685997003079680,RT @mrshaikh2014: @OfficeOfRSP @rsprasad @PMOIndia @HMOIndia @rashtrapatibhvn @aajtak @ZeeNews @CNN @BBC @InsaafNGO @vaastavngo @OfficeOfRG…
55,0.0,56,Fri Jan 12 05:23:10 +0000 2018,0.0,1.0,0.0,951685966141448193,RT @mrshaikh2014: @OfficeOfRSP @rsprasad @PMOIndia @HMOIndia @rashtrapatibhvn @aajtak @ZeeNews @CNN @BBC @InsaafNGO @vaastavngo @OfficeOfRG…
56,-0.1027,57,Fri Jan 12 05:21:27 +0000 2018,0.076,0.924,0.0,951685533666705409,"RT @MrMalky: Sack the both of them @BBC 
You sack women for tweeting about equal pay, right? https://t.co/kruQrRi5GX"
57,0.0,58,Fri Jan 12 05:20:41 +0000 2018,0.0,1.0,0.0,951685339667628033,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
58,0.0,59,Fri Jan 12 05:17:06 +0000 2018,0.0,1.0,0.0,951684441323155461,RT @mrshaikh2014: @OfficeOfRSP @rsprasad @PMOIndia @HMOIndia @rashtrapatibhvn @aajtak @ZeeNews @CNN @BBC @InsaafNGO @vaastavngo @OfficeOfRG…
59,0.0,60,Fri Jan 12 05:16:56 +0000 2018,0.0,1.0,0.0,951684398935506944,What were you wearing? #Beyond #Brilliant!! #traceyullman ??????  Is this the sketch of the year? @BBC… https://t.co/pY7QRx2Ey4
60,-0.5413,61,Fri Jan 12 05:16:42 +0000 2018,0.155,0.845,0.0,951684339015831552,RT @lesterbroom48: Absolutely shameful #bbcqt the @BBC @bbcquestiontime is so pro @Conservatives now it'll be renamed torytime from next we…
61,-0.6124,62,Fri Jan 12 05:15:20 +0000 2018,0.148,0.852,0.0,951683996051787776,RT @pharosclassics: Pharos is back in the new year with racist reactions to the casting of David Gyasi as Achilles in upcoming @BBC / @netf…
62,0.2481,63,Fri Jan 12 05:14:59 +0000 2018,0.12,0.707,0.174,951683908655091712,"i missed much of the news today, good thing the @bbc has my back with #TheBriefing!"
63,-0.1027,64,Fri Jan 12 05:13:15 +0000 2018,0.076,0.924,0.0,951683472149622784,"RT @MrMalky: Sack the both of them @BBC 
You sack women for tweeting about equal pay, right? https://t.co/kruQrRi5GX"
64,0.0,65,Fri Jan 12 05:12:39 +0000 2018,0.0,1.0,0.0,951683320810622976,"?? ????? ??????? ????? #??????????? ?? ??????? ???????
? ?? ?????? ??..? ???????..??? ?? ????? ?? ? ?????????..!!
?… https://t.co/GL8sTGedX9"
65,0.0,66,Fri Jan 12 05:10:18 +0000 2018,0.0,1.0,0.0,951682726934978560,"RT @BBC: ? ? Fancy some new music from @Camila_Cabello? The singer debuted her song 'Never Be The Same' live on US TV. 

Take a look ? http…"
66,0.0,67,Fri Jan 12 05:08:55 +0000 2018,0.0,1.0,0.0,951682380154179584,The pair of '79 albums and the surge of #NWOBHM led to @myMotorhead appearing on @TOTPofficial and @TiswasOnline fo… https://t.co/8feF33mKPK
67,-0.1027,68,Fri Jan 12 05:08:12 +0000 2018,0.076,0.924,0.0,951682198201143299,"RT @MrMalky: Sack the both of them @BBC 
You sack women for tweeting about equal pay, right? https://t.co/kruQrRi5GX"
68,0.0,69,Fri Jan 12 05:07:04 +0000 2018,0.0,1.0,0.0,951681913558728704,@samouds @BBC Merci Abdessamad ?
69,-0.5413,70,Fri Jan 12 05:05:51 +0000 2018,0.155,0.845,0.0,951681608972685312,RT @lesterbroom48: Absolutely shameful #bbcqt the @BBC @bbcquestiontime is so pro @Conservatives now it'll be renamed torytime from next we…
70,-0.5096,71,Fri Jan 12 05:04:50 +0000 2018,0.162,0.838,0.0,951681351182422016,RT @glasgowswestend: @krishgm @olwenmcg @piersmorgan @BBC @bbcquestiontime He's not been great allowing Morgan to witter on and continuousl…
71,-0.2263,72,Fri Jan 12 05:04:38 +0000 2018,0.076,0.924,0.0,951681301291110400,"RT @olwenmcg: @krishgm @piersmorgan Dimbleby is just one of @BBC 's ""big names"" who is waaay past his sell by date. I stopped watching @bbc…"
72,0.6124,73,Fri Jan 12 05:04:07 +0000 2018,0.0,0.8,0.2,951681173876625408,Watch out for #LikeMinded a timely new (and brilliantly named) series from @BBC that explores the impact… https://t.co/NnBiPO54lA
73,-0.296,74,Fri Jan 12 05:01:05 +0000 2018,0.115,0.885,0.0,951680409628225536,RT @realalu: None absolutely.  And @bbc reports it as farmer-herdsmen clash. No it is not.  #StopMinorityGenocide #BenueMourns https://t.co…
74,0.6124,75,Fri Jan 12 04:59:40 +0000 2018,0.0,0.833,0.167,951680050310426624,RT @conneally: Watch out for #LikeMinded a timely new (and brilliantly named) series from @BBC that explores the impact #SocialMedia is hav…
75,-0.7345,76,Fri Jan 12 04:58:20 +0000 2018,0.279,0.721,0.0,951679716640960512,RT @MaxxC90: Disgusted with the way @BBC are running an outright smear campaign on Dr Zakir Naik! #HouseofSaud
76,-0.5413,77,Fri Jan 12 04:57:47 +0000 2018,0.17,0.83,0.0,951679577729978368,Absolutely shameful #bbcqt the @BBC @bbcquestiontime is so pro @Conservatives now it'll be renamed torytime from ne… https://t.co/lFKmAX1Yc9
77,0.0,78,Fri Jan 12 04:56:34 +0000 2018,0.0,1.0,0.0,951679271885524992,RT @hash_chat: @ChuckGrassley @SenTomCotton @sendavidperdue @JohnCornyn @FoxNews @CBSNews @CNN @BBC @foxandfriends @realDonaldTrump @Ingrah…
78,0.0,79,Fri Jan 12 04:56:24 +0000 2018,0.0,1.0,0.0,951679228809900032,RT @THESTRA50825107: @AJEnglish #NEFERTITI @timesofindia #KHALI @TimesofIsrael #KHABALLAH @BBC #KHALIBIM @AngryandAsian @Jasmine16225530 @T…
79,0.0,80,Fri Jan 12 04:56:03 +0000 2018,0.0,1.0,0.0,951679140637429761,@AJEnglish #NEFERTITI @timesofindia #KHALI @TimesofIsrael #KHABALLAH @BBC #KHALIBIM @AngryandAsian @Jasmine16225530… https://t.co/K0llFi3R8a
80,0.4215,81,Fri Jan 12 04:55:56 +0000 2018,0.0,0.741,0.259,951679110815911937,@java9million @myzimbabwenews @BBC @BBCHARDtalk @ProfJNMoyo @matigary That's true  though
81,0.0,82,Fri Jan 12 04:55:27 +0000 2018,0.0,1.0,0.0,951678990292529155,"RT @alexandrabulat: #bbcqt just before Q2 I commented on @dominicraab's statement on @the3million and @BritishInEurope 
@BBC edited it out…"
82,0.0,83,Fri Jan 12 04:55:02 +0000 2018,0.0,1.0,0.0,951678885447467010,@AtiqRehmanPAT @PATofficialPK @BBC Gud
83,-0.34,84,Fri Jan 12 04:53:19 +0000 2018,0.146,0.854,0.0,951678456340930565,@lynnmudonhi @myzimbabwenews @BBC @BBCHARDtalk @ProfJNMoyo @matigary mark my words ...ED is a toothless dog ...dai… https://t.co/DYwareNafy
84,-0.5423,85,Fri Jan 12 04:52:46 +0000 2018,0.2,0.8,0.0,951678317303910401,"RT @BBC: Is social media bad for you? ?

The evidence and the unknowns. ? https://t.co/Y1TQBO5sjJ https://t.co/uKFj0uuhJz"
85,0.0,86,Fri Jan 12 04:51:39 +0000 2018,0.0,1.0,0.0,951678036910465024,RT @infante: @BBC  https://t.co/I6xACeR41X
86,0.0,87,Fri Jan 12 04:51:03 +0000 2018,0.0,1.0,0.0,951677885215051776,@YouTube @YouTubeBrasil @DailymotionUSA @TopBuzz REVEJAM SEUS CONCEITOS DO QUE SIGNIFICA: #NUDEZ #VIOLÊNCIA… https://t.co/aS565344HP
87,0.0,88,Fri Jan 12 04:50:38 +0000 2018,0.0,1.0,0.0,951677780734955520,RT @kkunapareddy1: @hash_chat @ChuckGrassley @SenTomCotton @sendavidperdue @JohnCornyn @FoxNews @CBSNews @CNN @BBC @foxandfriends @realDona…
88,0.0,89,Fri Jan 12 04:50:10 +0000 2018,0.0,1.0,0.0,951677662774353920,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
89,0.7184,90,Fri Jan 12 04:49:47 +0000 2018,0.0,0.76,0.24,951677566040985602,RT @AlastairBruce_: Huge honour to be in conversation with TheQueen about coronation &amp; Regalia for @BBC film 14Jan2018.Told HerMajesty my l…
90,0.5994,91,Fri Jan 12 04:49:37 +0000 2018,0.0,0.647,0.353,951677524223905792,RT @BBC: Farewell 2017. Thank you for giving us this. ? https://t.co/tIUAzNnIUU
91,0.0,92,Fri Jan 12 04:48:49 +0000 2018,0.0,1.0,0.0,951677321186107392,@java9million @myzimbabwenews @BBC @BBCHARDtalk @ProfJNMoyo @matigary ????
92,0.0,93,Fri Jan 12 04:47:56 +0000 2018,0.0,1.0,0.0,951677097851924483,@lynnmudonhi @myzimbabwenews @BBC @BBCHARDtalk @ProfJNMoyo @matigary finished nani uchamuona achidzoka garwe haana… https://t.co/6OxLJ5UP9Z
93,0.0,94,Fri Jan 12 04:47:35 +0000 2018,0.0,1.0,0.0,951677011457642496,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
94,0.0,95,Fri Jan 12 04:46:55 +0000 2018,0.0,1.0,0.0,951676843652009984,@java9million @myzimbabwenews @BBC @BBCHARDtalk @ProfJNMoyo @matigary Oscar Pambuka is finished ????
95,0.1531,96,Fri Jan 12 04:45:30 +0000 2018,0.088,0.8,0.112,951676486813184001,Immediately stop H1B and send back all immigrant whoes H1B expired &amp; staying with green card in progress for more t… https://t.co/atDDSgmbtF
96,0.0,97,Fri Jan 12 04:44:44 +0000 2018,0.0,1.0,0.0,951676292902064128,RT @java9million: @myzimbabwenews @lynnmudonhi @BBC @BBCHARDtalk @ProfJNMoyo @matigary ngaauye ku ZBC Mlevu uyo timupe Oscar Pambuka
97,0.8591,98,Fri Jan 12 04:44:39 +0000 2018,0.0,0.596,0.404,951676273759109120,@BBC Just future generations praising the bravery of those rescuers and people who saved the targeted individuals
98,0.5994,99,Fri Jan 12 04:44:32 +0000 2018,0.0,0.647,0.353,951676243702935552,RT @BBC: Farewell 2017. Thank you for giving us this. ? https://t.co/tIUAzNnIUU
99,0.0,100,Fri Jan 12 04:44:23 +0000 2018,0.0,1.0,0.0,951676207489196032,RT @idamaria_pacino: @impxyz @ioTSC @AFP @CNBC @nytimes @BBC @bobdylan #idampan #idaTELL https://t.co/IjHYJAGLTI #RingsOfSaturn #Most #Attr…
