,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
27,0.0,28,Fri Jan 12 06:02:37 +0000 2018,0.0,1.0,0.0,951695893174149121,RT @CIA: @GatewayArchSTL @Dulles_Airport @cranbrookedu @Yale @smithsonian @IBM @CBS @JohnDeere @Vassar @MIT @Penn @UChicago @SydOperaHouse…
28,0.0,29,Fri Jan 12 06:02:22 +0000 2018,0.0,1.0,0.0,951695829366132736,RT @CIA: @GatewayArchSTL @Dulles_Airport @cranbrookedu @Yale @smithsonian @IBM @CBS @JohnDeere @Vassar @MIT @Penn @UChicago @SydOperaHouse…
29,0.0,30,Fri Jan 12 06:02:06 +0000 2018,0.0,1.0,0.0,951695765528875008,RT @CIA: @GatewayArchSTL @Dulles_Airport @cranbrookedu @Yale @smithsonian @IBM @CBS @JohnDeere @Vassar @MIT @Penn @UChicago @SydOperaHouse…
30,0.0,31,Fri Jan 12 06:02:05 +0000 2018,0.0,1.0,0.0,951695758910111744,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
31,0.0,32,Fri Jan 12 06:01:44 +0000 2018,0.0,1.0,0.0,951695670829821952,We've never fully gotten the Story on exactly  how @MelaniaTrump came to America..Maybe her or @realDonaldTrump  ca… https://t.co/RkzkwFORcR
32,0.0,33,Fri Jan 12 06:01:37 +0000 2018,0.0,1.0,0.0,951695641159364608,RT @CIA: @GatewayArchSTL @Dulles_Airport @cranbrookedu @Yale @smithsonian @IBM @CBS @JohnDeere @Vassar @MIT @Penn @UChicago @SydOperaHouse…
33,0.0,34,Fri Jan 12 06:01:28 +0000 2018,0.0,1.0,0.0,951695605759389701,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
34,0.8906,35,Fri Jan 12 06:00:51 +0000 2018,0.0,0.487,0.513,951695449810964480,RT @rosie_killion: @CBS please please keep wisdom of the crowd my favorite show ever !!
35,0.0,36,Fri Jan 12 06:00:32 +0000 2018,0.0,1.0,0.0,951695371037798400,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
36,0.0,37,Fri Jan 12 06:00:21 +0000 2018,0.0,1.0,0.0,951695323310755840,"Don Lemon bodied it. More of this, from all of you, @cnn, @msnbc, @nbc, @cbs, @ABC

And you should try it out too,… https://t.co/pemPNconAA"
37,0.8906,38,Fri Jan 12 05:59:00 +0000 2018,0.0,0.437,0.563,951694985996496896,@CBS please please keep wisdom of the crowd my favorite show ever !!
38,0.0,39,Fri Jan 12 05:58:56 +0000 2018,0.0,1.0,0.0,951694967382126592,S01E10  — Watching S.W.A.T. https://t.co/bwGdKCvEjS #swat @swatcbs @cbs #nowwatching #telfie (via @telfieapp) https://t.co/JFoLIXJ3Rv
39,0.0,40,Fri Jan 12 05:58:46 +0000 2018,0.0,1.0,0.0,951694926030438400,@washingtonpost @nytimes @FBI @CNN @MSNBC @business @businessinsider @HuffPost @TIME @CNN @CBS @ABC @USATODAY… https://t.co/PCq7Fyztd8
40,0.0,41,Fri Jan 12 05:58:30 +0000 2018,0.0,1.0,0.0,951694858229448709,"RT @CBS: Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and more! The 60th A…"
41,-0.4019,42,Fri Jan 12 05:58:08 +0000 2018,0.253,0.611,0.135,951694765443166209,@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews You insult my intelligence with this ridiculous game you’re… https://t.co/1n6bdtnqHa
42,0.0772,43,Fri Jan 12 05:56:08 +0000 2018,0.0,0.939,0.061,951694261426229249,@realDonaldTrump Knock knock anyone in the media want to tell this genius that the new embassy was planned and loca… https://t.co/0IqPFeaLkk
