,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
28,0.0,29,Fri Jan 12 03:26:51 +0000 2018,0.0,1.0,0.0,951656694207188992,@bfraser747 @TheMeemStreams @realDonaldTrump @cnn @abc @nbc @cnbc @CBS @foxnews @wsj @washingtonpost @NYT  Trump's… https://t.co/KM0hcqnNFs
29,0.0,30,Fri Jan 12 03:22:37 +0000 2018,0.0,1.0,0.0,951655627469836288,"@tolulawrence @Oprah @NYT Average IQ in Haiti is 68. With a 15 standard deviation, that means 85% of Haitians are f… https://t.co/0YrhKlwyFo"
30,0.0,31,Fri Jan 12 03:21:14 +0000 2018,0.0,1.0,0.0,951655282442043392,Breakingviews: Walmart’s Minor Act of Redistribution https://t.co/OqBMXgEOCu @NYT https://t.co/MVFEbp2RQd
31,0.6486,32,Fri Jan 12 03:21:13 +0000 2018,0.0,0.71,0.29,951655277039730688,Facebook Overhauls News Feed to Focus on What Friends and Family Share https://t.co/82dUR9xIKX @NYT https://t.co/l68tWIaM62
32,0.0,33,Fri Jan 12 03:21:12 +0000 2018,0.0,1.0,0.0,951655271163559936,A Wall St. Executive’s Downfall Seemed Sudden. It Was Years in the Making. https://t.co/u6sNNPDu5B @NYT https://t.co/vSLnlyB04U
33,0.0,34,Fri Jan 12 03:21:10 +0000 2018,0.0,1.0,0.0,951655265983541248,"After Donald Trump Said It, How News Outlets Handled It https://t.co/JKkGDxGhFW @NYT https://t.co/EeBVFrZzWP"
34,0.0,35,Fri Jan 12 03:21:09 +0000 2018,0.0,1.0,0.0,951655258291228673,"Kering to Spin Off Puma, Saying Goodbye to Sports Lifestyle https://t.co/euZC2Fj5X4 @NYT https://t.co/nuKUH5rRA0"
35,0.0,36,Fri Jan 12 03:15:19 +0000 2018,0.0,1.0,0.0,951653792847720449,RT @42strongU: Arverne by the Sea's version of OUR Arverne. ?@rockawayyouth @NY1 @PIX11News @tariro @NYT @rklein90  @leoniehaimson @AmyArun…
36,0.3182,37,Fri Jan 12 03:15:17 +0000 2018,0.0,0.892,0.108,951653783364362241,Following @Oprah's advice and speaking my truth via the @nyt. NB: #shithole isn't applicable to Haiti and the conti… https://t.co/4noOltLoCH
37,0.4404,38,Fri Jan 12 03:11:57 +0000 2018,0.0,0.707,0.293,951652943476019200,"@susanswann99 @nytimes @NYT Thanks for the clarification, Susan..."
38,-0.5267,39,Fri Jan 12 02:48:51 +0000 2018,0.152,0.848,0.0,951647131798065152,Did @Yamiche just move to @NewsHour after a very brief stint at @NYT?  I wonder if she's disgusted by the Times. I am.
39,-0.7003,40,Fri Jan 12 02:48:11 +0000 2018,0.225,0.775,0.0,951646963954405376,"The mainstream media is letting the American down again. 
Trump is a Fascist Nazi.
No one has the guts to say it.… https://t.co/g6dpobASwB"
40,0.6418,41,Fri Jan 12 02:45:50 +0000 2018,0.077,0.698,0.225,951646372234694657,"RT @AlirezaNader: I wish @NYT would stop using the term ""moderate"" so freely when talking about Rouhani. After all, it was his government t…"
41,0.0,42,Fri Jan 12 02:44:18 +0000 2018,0.0,1.0,0.0,951645988061577216,RT @42strongU: Arverne by the Sea's version of OUR Arverne. ?@rockawayyouth @NY1 @PIX11News @tariro @NYT @rklein90  @leoniehaimson @AmyArun…
42,0.5106,43,Fri Jan 12 02:43:40 +0000 2018,0.105,0.639,0.256,951645827226832896,@nytimes thanks @nyt .  i support your position.  Americans can’tseem to speak w/o vulgarities.  lack of speaking s… https://t.co/DDHsEXLUrf
43,0.4019,44,Fri Jan 12 02:35:05 +0000 2018,0.0,0.863,0.137,951643665302253568,@VincentWright @nytimes @NYT That they weren’t saying clearly that Trump said “shithole.” They were soft peddling h… https://t.co/YWpt83x0rb
44,-0.4754,45,Fri Jan 12 02:34:22 +0000 2018,0.11,0.89,0.0,951643488218701825,"RT @FeMaiden13: And if the @NYT needs to write some more goddamned articles about  trump voters, the least they could do is refer to them b…"
45,0.0,46,Fri Jan 12 02:28:15 +0000 2018,0.0,1.0,0.0,951641947671879680,"""Walmart’s Minor Act of Redistribution"" via @NYT The New York Times https://t.co/EUAnm8aJDs #businessnews #business #news"
46,0.7096,47,Fri Jan 12 02:26:00 +0000 2018,0.0,0.772,0.228,951641379033067520,"RT @dtmcnally: The @NYT highlights @AARPOR event for @ORSaves, which will help 1 million people save for #retirement out of their regular p…"
47,-0.4754,48,Fri Jan 12 02:25:42 +0000 2018,0.11,0.89,0.0,951641304764739584,"RT @FeMaiden13: And if the @NYT needs to write some more goddamned articles about  trump voters, the least they could do is refer to them b…"
48,-0.4754,49,Fri Jan 12 02:23:54 +0000 2018,0.11,0.89,0.0,951640851490500608,"RT @FeMaiden13: And if the @NYT needs to write some more goddamned articles about  trump voters, the least they could do is refer to them b…"
49,0.0,50,Fri Jan 12 02:23:45 +0000 2018,0.0,1.0,0.0,951640816149192704,@nyt @maggieNYT https://t.co/pFCQojWmgM
50,-0.4754,51,Fri Jan 12 02:23:10 +0000 2018,0.123,0.877,0.0,951640669931622400,"And if the @NYT needs to write some more goddamned articles about  trump voters, the least they could do is refer t… https://t.co/lyoRJbewdP"
51,0.0,52,Fri Jan 12 02:18:04 +0000 2018,0.0,1.0,0.0,951639384352108544,RT @NYT: Fact Check: These Claims About ‘Chain Migration’ Are Not Accurate. https://t.co/F1IJtJgJ9Q
52,0.0,53,Fri Jan 12 02:16:04 +0000 2018,0.0,1.0,0.0,951638880574410752,RT @42strongU: Arverne by the Sea's version of OUR Arverne. ?@rockawayyouth @NY1 @PIX11News @tariro @NYT @rklein90  @leoniehaimson @AmyArun…
53,0.0,54,Fri Jan 12 02:14:36 +0000 2018,0.0,1.0,0.0,951638513086287872,Arverne by the Sea's version of OUR Arverne. ?@rockawayyouth @NY1 @PIX11News @tariro @NYT @rklein90  @leoniehaimson… https://t.co/qDPECCFxEC
54,-0.7351,55,Fri Jan 12 02:06:19 +0000 2018,0.343,0.536,0.121,951636426357166086,"@NYT @WAPO @WSJ @GOP @CNN @MSNBC Cover the crisis, the National disgrace, the perversion of justice or STFU. https://t.co/HzAbUbphgT"
55,0.0,56,Fri Jan 12 02:00:32 +0000 2018,0.0,1.0,0.0,951634971042766849,RT @NYT: Fact Check: These Claims About ‘Chain Migration’ Are Not Accurate. https://t.co/F1IJtJgJ9Q
56,-0.5994,57,Fri Jan 12 01:59:18 +0000 2018,0.281,0.719,0.0,951634662404837376,RT @NYT: Opinion: The Women the Abortion War Leaves Out. https://t.co/nAwUMTIaFq
57,0.0,58,Fri Jan 12 01:56:22 +0000 2018,0.0,1.0,0.0,951633924224114688,@Jovi_2018 @CNN @MSNBC @ABC @CBS @nbc @BarackObama @SenSchumer @NYT @benshapiro @TMZ @Variety  https://t.co/zU5YhcSADY
58,0.6486,59,Fri Jan 12 01:48:21 +0000 2018,0.0,0.751,0.249,951631906927468545,"""Facebook Overhauls News Feed to Focus on What Friends and Family Share"" by MIKE ISAAC via @NYT https://t.co/HOY0Orufg1"
59,0.6486,60,Fri Jan 12 01:48:04 +0000 2018,0.0,0.725,0.275,951631834592444416,"""Facebook Overhauls News Feed to Focus on What Friends and Family Share"" via @NYT https://t.co/ZsCiEsWl0H #technology"
60,0.0,61,Fri Jan 12 01:42:39 +0000 2018,0.0,1.0,0.0,951630469958946816,RT @NYT: Op-Ed Contributor: Climate Change in My Backyard. https://t.co/Q0yQ11VOq8
